,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2017OAK,7.559748942,3.157232919,0.68943374,4.672956292,4.565746009,9.553082622,0.319371727,0.435761346,0.3226462261,15.11932826,16.89052676,75
2017PIT,7.883850805,3.192272394,0.7322011,4.229292389,4.232836463,16.5911125,0.318069916,0.385672407,0.3043434233,-118.6831393,10.54944021,75
2019CIN,9.713492157,3.354659662,0.73702378,4.180807191,4.229308627,19.82567049,0.314808707,0.421651376,0.3118815112,-130.7841874,12.66383612,75
2023NYM,8.877148265,3.78088992,0.73467049,4.295599304,4.46661965,10.96628575,0.316260566,0.407234756,0.3149903944,1.915943927,18.53058995,75
2009HOU,7.200000567,3.436363907,0.72008981,4.544056302,4.347433508,11.63590216,0.319156061,0.400110375,0.3148917719,-98.96498298,12.48087974,74
2011OAK,7.211605342,3.2265717,0.72073617,3.711489991,3.804571231,17.9777392,0.311305207,0.368672046,0.3014850969,-82.17030841,7.271194905,74
2012NYM,7.782427376,3.062761741,0.71052317,4.092050523,3.929180193,14.33939784,0.315684647,0.385688073,0.3062431476,-48.79668942,15.91653347,74
2013TOR,7.487604171,3.099173912,0.72289157,4.264463303,4.297165815,9.484427869,0.317818063,0.41069171,0.3201311152,-2.799601406,16.96669525,74
2013COL,6.6685242,3.24025095,0.70202971,4.437326253,3.960807094,16.41241502,0.322654838,0.418467583,0.3241488854,-72.6865486,13.90586989,74
2013MIL,7.018253665,2.907116629,0.73453453,3.836645337,4.123640024,5.292739498,0.310506096,0.397515527,0.3111673506,-65.99062011,22.11459557,74
2013NYM,7.368623726,2.791422388,0.72938204,3.784876207,3.788712234,18.08679253,0.305654858,0.366073034,0.296790278,-49.21851798,16.74107495,74
2015DET,6.841742319,3.041465449,0.69654858,4.639945246,4.456330598,11.65774923,0.32773794,0.42016057,0.3236052327,-8.571443456,17.09626601,74
2015SDP,8.704235532,3.224253794,0.71109544,4.092802781,3.929937226,9.714755445,0.300083822,0.384826827,0.2980008227,-63.22954681,16.36639763,74
2016LAA,7.193246426,3.153377394,0.74994262,4.28048819,4.619825056,7.986574195,0.321892702,0.404529552,0.3141073199,-18.84689047,17.49741627,74
2021KCR,8.534337606,3.752822563,0.70318703,4.641816064,4.389225209,13.21026093,0.306465155,0.395614519,0.3036819455,-85.00237141,12.06132683,74
2021COL,8.175376352,3.472441177,0.69755306,4.825340337,4.469962627,13.57354905,0.316663869,0.414402679,0.3149813008,-148.1984516,9.371108485,74
2022ARI,7.653147579,3.172028273,0.71193466,4.254545858,4.329214334,6.773268476,0.304238985,0.385161652,0.3027610347,-35.44859547,19.36766954,74
2022CHC,8.621797114,3.366428374,0.73504684,4.027245796,4.334319819,7.845370194,0.311302048,0.386543778,0.3069448852,5.602306416,18.27212098,74
2024TOR,8.285381324,3.171649015,0.71741306,4.294021828,4.426380466,8.074766613,0.313420486,0.389279112,0.3073382557,-2.953722333,22.74183245,74
2011COL,6.950495593,3.24522245,0.70600691,4.43886749,4.242517396,13.57679666,0.329193548,0.409812409,0.3236525514,-92.5360652,12.47162326,73
2012TOR,7.119372865,3.578388813,0.72037702,4.644424505,4.656447212,6.875297357,0.309240924,0.406597412,0.3110612977,-55.79166267,14.04185104,73
2013PHI,7.512880618,3.170573472,0.70541699,4.336041191,3.940404923,13.71707254,0.306362262,0.383797653,0.3028566916,-81.94878616,8.569861551,73
2014CHW,7.195003883,3.478834343,0.70389884,4.297016208,4.099635986,10.72967933,0.30983823,0.398340248,0.3123442116,-23.45849156,13.951782,73
2014CHC,8.063098593,3.099772457,0.69599109,3.923918308,3.508106413,20.49535248,0.299586435,0.38453159,0.3025233785,-59.51827769,15.19355712,73
2014PHI,7.692395233,3.193416666,0.72230872,3.806356526,3.814658545,16.63682533,0.302052785,0.363376762,0.2950746171,-85.53364413,11.13529065,73
2016MIL,7.372763675,3.338136404,0.73104292,4.097374195,4.372216982,11.11388855,0.322231473,0.406754221,0.3152029754,-52.6170326,16.10656565,73
2018TOR,8.148338671,3.458963488,0.70002219,4.852593061,4.528950705,8.493338536,0.311810245,0.427058608,0.3185674839,-23.72048094,15.45349622,73
